"provider_type","avg_payment_to_charge","median_payment_to_charge","total_revenue","procedure_count","provider_count"
"Mass Immunizer Roster Biller",0.912874651628197,0.96725,225653487.995237,73,2419
"Public Health or Welfare Agency",0.836539051313205,0.979972563867102,34447.77999871,7,3
"Centralized Flu",0.777669585347767,0.853823191599223,76071332.9771085,36,694
"Pharmacy",0.774421190158853,0.859586758498112,20648491.8851427,61,376
"Opioid Treatment Program",0.71818977638449,0.8702338129355,5808729.58535843,5,26
"Chiropractic",0.498993916251731,0.488967741904345,60799341.0864497,3,1720
"Registered Dietitian or Nutrition Professional",0.492007674872306,0.475903674356643,683626.717942656,7,177
"Clinic or Group Practice",0.462694174124586,0.533404882762557,181389.01999797,8,3
"Optometry",0.453570326723836,0.463745055,152075119.437665,91,2474
"Psychologist, Clinical",0.442829488096839,0.464830038341866,80110686.1790582,33,826
"Portable X-Ray Supplier",0.435752634689093,0.394498988496736,66244063.7046546,101,38
"Geriatric Psychiatry",0.4228541047314,0.42284113247651,2284383.3400431,38,12
"Licensed Clinical Social Worker",0.405072983630245,0.413214285714286,39455976.5674646,16,826
"Clinical Laboratory",0.403062841779511,0.335312940806662,1650590685.43208,1066,572
"General Practice",0.399790540123624,0.369756103785447,34797720.1654971,381,246
"Speech Language Pathologist",0.398275813878525,0.382961199333333,6111336.16228521,20,161
"Undersea and Hyperbaric Medicine",0.39799962272213,0.321587528586957,8043256.07478573,84,22
"Psychiatry",0.397879790124651,0.373391637471264,92850090.1235318,157,1246
"Pediatric Medicine",0.396160506281654,0.349340215406224,6503678.74568305,226,142
"Allergy/ Immunology",0.396054476570912,0.366643131849968,23153289.1590691,179,286
"Geriatric Medicine",0.387630234012375,0.332281746041667,23216275.5428328,213,133
"Podiatry",0.385923884630477,0.365885216275948,185227222.095816,339,1011
"Family Practice",0.383067935126821,0.34425,983586246.672076,1027,7007
"Obstetrics & Gynecology",0.38233313719997,0.343017145544048,44806461.2969265,328,1576
"Osteopathic Manipulative Medicine",0.368642776240256,0.360859704618947,3619254.21579133,81,33
"Internal Medicine",0.367517332986954,0.329861679739229,1390974261.43213,1294,6789
"Certified Nurse Midwife",0.366287712559347,0.365530526897436,85121.88000021,8,17
"Unknown Supplier/Provider Specialty",0.362627516644398,0.359428571435943,1359.0299999,2,1
"Nephrology",0.355871875641228,0.332947244152919,405921936.376729,347,912
"Rheumatology",0.351864617722753,0.326258220132676,94649307.4270014,358,393
