"hcpcs_code","hcpcs_description","total_volume","total_revenue","avg_payment_to_charge","avg_revenue_per_beneficiary","provider_count","revenue_per_unit","efficiency_score","cluster","cumulative_revenue","cumulative_percent","revenue_percent"
"99214","Established patient office or other outpatient visit, 30-39 minutes",6939531,571652657.535979,0.338100923542446,134.155379337422,32500,82.3762668595296,0.27851491903186,4,571652657.535979,10.3293006044417,10.3293006044417
"99213","Established patient office or other outpatient visit, 20-29 minutes",4369916,250512625.434033,0.340455144580203,80.6428766697189,29786,57.3266455085252,0.19517151384903,4,822165282.970011,14.855860884017,4.52656027957532
"99232","Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",3039843,182642514.329128,0.33370183489552,149.283424734777,11794,60.0828774147638,0.200497664391093,4,1004807797.29914,18.1560632163011,3.30020233228405
"99233","Subsequent hospital care with moderate levelof medical decision making, if using time, at least 50 minutes",1833902,166024566.405126,0.341565158740164,206.552895630879,9319,90.5307734029006,0.309221579882316,4,1170832363.70427,21.1559926866066,2.99992947030551
"A0427","Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",288731,114301658.554382,0.321216424448498,534.032739253521,432,395.875948735612,1.2716185677801,1,1285134022.25865,23.2213310966185,2.06533841001196
"66984","Removal of cataract with insertion of prosthetic lens",201138,112736063.807525,0.261896277487258,592.4006672947,992,560.491124538997,1.4679053908141,1,1397870086.06617,25.258380477354,2.03704938073546
"99223","Initial hospital care with moderate level of medical decision making, if using time, at least 75 minutes",729251,94828756.4172532,0.275539039993592,136.325573823653,9986,130.035826371514,0.358299467631805,1,1492698842.48343,26.9718593146627,1.71347883730872
"99204","New patient office or other outpatient visit, 45-59 minutes",828044,90909677.2160596,0.309062717857531,107.381576278346,16376,109.788461985184,0.339315204505392,1,1583608519.69948,28.6145235644276,1.64266424976489
"99215","Established patient office or other outpatient visit, 40-54 minutes",680856,80608353.7597026,0.347831542409953,166.128506816638,8725,118.392661237769,0.411807019683524,1,1664216873.45919,30.0710512412201,1.45652767679252
"93229","Electrocardiogram (ecg) up to 30 days continuous with transmission of patient triggered events with review and report by health care professional",91316,78471952.6363878,0.401962100859205,665.629459625215,215,859.345050553986,3.4542414188364,1,1742688826.09558,31.4889758797455,1.41792463852536
"G0439","Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",616798,75498849.3436951,0.538275666265862,120.130478521012,7114,122.404497653519,0.65887362528386,1,1818187675.43927,32.8531789493541,1.36420306960858
"99285","Emergency department visit with high level of medical decision making",529016,70991648.3101101,0.0994414704798575,134.576470142341,4263,134.195654403856,0.133446132059262,3,1889179323.74938,34.1359405461613,1.2827615968072
"99309","Subsequent nursing facility care with moderate level of medical decision making, per day, if using time, at least 30 minutes",882536,64414242.9523553,0.397309785287856,270.155573677768,1840,72.9876661715276,0.289987139752713,1,1953593566.70174,35.2998537544551,1.16391320829387
"99291","Critical care, first 30-74 minutes",391375,64328235.9648746,0.179298915609432,256.750158781195,4724,164.364703838709,0.29470413162746,3,2017921802.66661,36.4622128861326,1.16235913167749
"J0178","Injection, aflibercept, 1 mg",89966,61883293.2202052,0.399892015282801,2614.85986642756,212,687.85200209196,2.75066523332863,1,2079805095.88682,37.5803938822983,1.11818099616563
"92014","Established patient complete exam of visual system",689328,56836531.0894096,0.469213623917758,89.6042939197704,2704,82.4520853489335,0.386876417661494,1,2136641626.97622,38.6073839735658,1.02699009126754
"93306","Ultrasound of heart with color-depicted blood flow, rate, direction and valve function",475299,43665269.0974229,0.2268758372758,93.4269518483858,1896,91.869053159007,0.208428683551847,3,2180306896.07365,39.3963800265628,0.788996052996978
"A0429","Ambulance service, basic life support, emergency transport (bls-emergency)",128524,42906614.3460649,0.322259380803361,436.754268436549,441,333.841261912677,1.07583478350592,1,2223213510.41971,40.1716678025519,0.775287775989149
"A0428","Ambulance service, basic life support, non-emergency transport, (bls)",208255,40998930.7587827,0.208702814425501,1024.45827687697,215,196.868890344927,0.410870914878116,3,2264212441.1785,40.9124852809374,0.740817478385473
"99222","Initial hospital care with straightforward or low-level medical decision making, if using time, at least 55 minutes",395660,38471756.9026419,0.300825399438446,101.31612710148,7912,97.2343853375169,0.292505728083103,1,2302684198.08114,41.6076387742165,0.69515349327906
