"hcpcs_code","hcpcs_description","total_volume","total_revenue","avg_payment_to_charge","avg_revenue_per_beneficiary","provider_count","revenue_per_unit","efficiency_score","cluster"
"99214","Established patient office or other outpatient visit, 30-39 minutes",6939531,571652657.535979,0.338100923542446,134.155379337422,32500,82.3762668595296,0.27851491903186,4
"99213","Established patient office or other outpatient visit, 20-29 minutes",4369916,250512625.434033,0.340455144580203,80.6428766697189,29786,57.3266455085252,0.19517151384903,4
"99232","Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",3039843,182642514.329128,0.33370183489552,149.283424734777,11794,60.0828774147638,0.200497664391093,4
"99233","Subsequent hospital care with moderate levelof medical decision making, if using time, at least 50 minutes",1833902,166024566.405126,0.341565158740164,206.552895630879,9319,90.5307734029006,0.309221579882316,4
"A0427","Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",288731,114301658.554382,0.321216424448498,534.032739253521,432,395.875948735612,1.2716185677801,1
"66984","Removal of cataract with insertion of prosthetic lens",201138,112736063.807525,0.261896277487258,592.4006672947,992,560.491124538997,1.4679053908141,1
"99223","Initial hospital care with moderate level of medical decision making, if using time, at least 75 minutes",729251,94828756.4172532,0.275539039993592,136.325573823653,9986,130.035826371514,0.358299467631805,1
"99204","New patient office or other outpatient visit, 45-59 minutes",828044,90909677.2160596,0.309062717857531,107.381576278346,16376,109.788461985184,0.339315204505392,1
"99215","Established patient office or other outpatient visit, 40-54 minutes",680856,80608353.7597026,0.347831542409953,166.128506816638,8725,118.392661237769,0.411807019683524,1
"93229","Electrocardiogram (ecg) up to 30 days continuous with transmission of patient triggered events with review and report by health care professional",91316,78471952.6363878,0.401962100859205,665.629459625215,215,859.345050553986,3.4542414188364,1
"G0439","Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",616798,75498849.3436951,0.538275666265862,120.130478521012,7114,122.404497653519,0.65887362528386,1
"99285","Emergency department visit with high level of medical decision making",529016,70991648.3101101,0.0994414704798575,134.576470142341,4263,134.195654403856,0.133446132059262,3
"99309","Subsequent nursing facility care with moderate level of medical decision making, per day, if using time, at least 30 minutes",882536,64414242.9523553,0.397309785287856,270.155573677768,1840,72.9876661715276,0.289987139752713,1
"99291","Critical care, first 30-74 minutes",391375,64328235.9648746,0.179298915609432,256.750158781195,4724,164.364703838709,0.29470413162746,3
"J0178","Injection, aflibercept, 1 mg",89966,61883293.2202052,0.399892015282801,2614.85986642756,212,687.85200209196,2.75066523332863,1
"92014","Established patient complete exam of visual system",689328,56836531.0894096,0.469213623917758,89.6042939197704,2704,82.4520853489335,0.386876417661494,1
"93306","Ultrasound of heart with color-depicted blood flow, rate, direction and valve function",475299,43665269.0974229,0.2268758372758,93.4269518483858,1896,91.869053159007,0.208428683551847,3
"A0429","Ambulance service, basic life support, emergency transport (bls-emergency)",128524,42906614.3460649,0.322259380803361,436.754268436549,441,333.841261912677,1.07583478350592,1
"A0428","Ambulance service, basic life support, non-emergency transport, (bls)",208255,40998930.7587827,0.208702814425501,1024.45827687697,215,196.868890344927,0.410870914878116,3
"99222","Initial hospital care with straightforward or low-level medical decision making, if using time, at least 55 minutes",395660,38471756.9026419,0.300825399438446,101.31612710148,7912,97.2343853375169,0.292505728083103,1
"99308","Subsequent nursing facility care with straightforward level of medical decision making, per day, if using time, at least 15 minutes",746260,37967782.4048528,0.390027300453333,187.513742384845,1596,50.8774186005586,0.1984358223081,1
"99203","New patient office or other outpatient visit, 30-44 minutes",535172,37221840.6530646,0.298917650776297,68.3133445179281,10820,69.5511735536699,0.207900734073975,1
"G6015","Intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc, per treatment session",133032,36942551.8009792,0.144151232527292,2709.14868074393,236,277.696733124205,0.400303263486565,3
"K1034","Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",3149409,36889212.9102107,0.917323872795738,13.1957773410563,2490,11.7130588342799,0.10744668492146,4
"63685","Insertion of spinal neurostimulator generator or receiver",4202,35298911.4175759,0.187110352671188,6250.53076206089,163,8400.50247919466,15.718209814973,2
"88305","Pathology examination of tissue using a microscope, intermediate complexity",854846,34684695.0855408,0.183865230053555,33.8263859183627,1120,40.5742029389396,0.0746018515760774,3
"99239","Hospital discharge day management, more than 30 minutes",377646,32778458.0327674,0.296385468138366,90.5709271855731,4197,86.7967833176239,0.257253052564983,1
"90960","Dialysis services, 4 or more physician visits per month (20 years or older)",117984,32006850.1421883,0.38643640036076,1402.02088434767,617,271.281276632325,1.04832960027067,1
"78431","Nuclear medicine studies of blood flow in heart muscle at rest and with stress with concurrent ct scan",19178,31014049.5148889,0.335028613390547,1473.67410688777,159,1617.16808399671,5.41797580800865,1
"45385","Removal of polyps or growths of large bowel using an endoscope with mechanical snare",105082,29795685.2486229,0.174432928610917,229.079473691546,1129,283.546994239003,0.494599326039321,3
"27447","Replacement of knee joint, both sides of knee",31857,28937879.2730859,0.168701339406393,916.910871113727,764,908.367996769498,1.53242897728916,3
"78815","Nuclear medicine study from skull base to mid-thigh with ct scan",62235,28276216.3820526,0.209770831537106,806.396082437715,600,454.345888680848,0.953085148740471,3
"97110","Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",1650724,28255463.5104843,0.286771142387507,132.751506974193,3608,17.1170126020366,0.049086652581474,1
"80053","Blood test, comprehensive group of blood chemicals",2712745,28019367.0090877,0.238773232776163,17.2260731965917,2650,10.3287876335917,0.0246623801393114,1
"36415","Insertion of needle into vein for collection of blood sample",3417354,27991464.8501181,0.61283751226865,13.2667925248351,6267,8.19097607392097,0.0501973740019377,4
"87637","Detection test by multiplex amplified probe technique for severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (covid-19), influenza virus types a and b, and respiratory syncytial virus",199577,27887223.1800607,0.511232628825349,175.962532436426,69,139.731648336535,0.714353779091862,1
"90677","Pneumococcal conjugate vaccine, 20 valent (pcv20), for intramuscular use",96440,26779669.2800024,0.781768243524945,278.040375164854,3576,277.682178349257,2.17083108826279,1
"99284","Emergency department visit with moderate level of medical decision making",302564,26459421.6118722,0.100599283576493,88.5619868531142,4619,87.4506603953946,0.087974737840679,3
"97530","Therapy procedure using functional activities",1014490,24695392.9296681,0.361356369704012,180.836560954783,2724,24.3426676750565,0.0879637801996964,1
"99490","Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",553765,24650609.17688,0.457757448523202,197.583502526798,1518,44.5145669677209,0.203768745972591,1
"90662","Influenza vaccine split virus, preservative free",344494,24197088.7199952,0.82924093272113,70.7902222951509,5110,70.2395069870454,0.582454742878099,1
"17311","Removal and microscopic exam of growth of head, neck, hands, feet, or genitals, 1-5 tissue blocks",54453,24172495.3735625,0.33393046025158,519.571382272177,194,443.914850854177,1.48236690458247,1
"99205","New patient office or other outpatient visit, 60-74 minutes",157660,23824464.4380565,0.315128230184987,150.050012118371,4315,151.112929329294,0.476199499776094,1
"97112","Therapy procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",1084108,22498852.3026655,0.325682777962619,146.426302933838,2898,20.7533311281399,0.0675900253379068,1
"77067","Screening mammography",351985,22293807.0789009,0.279601477168407,65.4004889413166,881,63.3373782374276,0.177092245151588,3
